FXD_ACCT_KEY,CAL_DT_KEY,CAL_MTH_KEY,MTH_END_FLAG,OPENING_STATUS,CLOSING_STATUS,OPENING_SEGMENT,CLOSING_SEGMENT,TECHNOLOGY,OPENING_BASE,ADDITIONS,DISCONNECTS,CLOSING_BASE,GROSS_ADDS,CHURN,MIGRATIONS,TITLE,SUBURB,CITY,POST_CODE,PYMNT_METHOD,SEG_KEY,HIST_START_DTTM,HIST_END_DTTM,CURR_IND,PROD_KEY,PROD_CD,PROD_DESCR,PROD_GRP_DESCR,PROD_TYPE,PROD_INTERNAL_DESCR,MLY_FEE_INCL_GST,CARE_CONTACT,DATA_USAGE
96134,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,HILLTOP,TAUPO,3330,Visa,1,14/09/2017 0:00,31/12/9999 0:00,Y,86,576,2degrees Broadband 80GB Fibre,UFB,PLANTYPE,UFB 100/20,75,1,170
181095,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,VDSL,1,0,0,1,0,0,0,NULL,HIKURANGI,WHANGAREI,114,Visa,1,21/08/2018 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,1,150
57253,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,Kaiapoi,,Waimakariri,Direct Debit,1,20/11/2015 0:00,31/12/9999 0:00,Y,4417,692,2degrees Broadband Unlimited Fibre,UFB,PLANTYPE,UFB 100/20,85,1,100
159495,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,WALTHAM,CHRISTCHURCH,8023,Visa,1,17/05/2019 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,1,150
134895,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,PAPATOETOE,,AUCKLAND,Visa,1,29/05/2019 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,1,200
109094,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,Karaka,,Auckland,Mastercard,1,30/08/2018 0:00,31/12/9999 0:00,Y,4062,DS1, OAccount Discount,DISCOUNT,SUPSERVICE,NULL,-10,1,180
131295,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,ADSL,1,0,0,1,0,0,0,NULL,PANGURU,FAR,NORTH 0492,Visa,1,7/03/2017 0:00,31/12/9999 0:00,Y,1169,HPPUC,2degrees Home Phone Plus,VOICE,SUPSERVICE,NULL,15,1,170
181575,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,ADSL,1,0,0,1,0,0,0,NULL,RANGIORA,WAIMAKARIRI,7400,Direct Debit,1,24/08/2018 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,1,150
82094,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,CASTOR BAY,AUCKLAND,620,Direct Debit,1,10/02/2017 0:00,31/12/9999 0:00,Y,1169,HPPUC,2degrees Home Phone Plus,VOICE,SUPSERVICE,NULL,15,1,100
853,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,ADSL,1,0,0,1,0,0,0,NULL,BRYNDWR,CHRISTCHURCH,8053,AP,1,23/08/2018 0:00,31/12/9999 0:00,Y,4416,690,2degrees Broadband Unlimited ADSL,ADSL,PLANTYPE,ADSL,85,1,200
2293,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,ADSL,1,0,0,1,0,0,0,Mr,Marshlands,,Christchurch,Cheque,1,20/11/2015 0:00,31/12/9999 0:00,Y,2872,SID2,2degrees Voice Line,VOICE,SUPSERVICE,NULL,0,1,180
91334,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,PORTOBELLO,DUNEDIN,9014,Direct Debit,1,30/05/2018 0:00,31/12/9999 0:00,Y,4414,694,2degrees Broadband Unlimited Fibre,UFB,PLANTYPE,UFB 1000/500,85,1,170
207736,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,HAMILTON,HAMILTON,3200,Direct Debit,1,29/04/2019 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,1,150
167175,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,NEW LYNN,AUCKLAND,600,Direct Debit,1,9/05/2018 0:00,31/12/9999 0:00,Y,5618,PDK2XD, OAmazon Prime Video - 1 year on us,DISCOUNT,SUPSERVICE,NULL,-8.99,1,150
231976,20190831,201908,Y,NULL,ACTIVE,NULL,RESIDENTIAL,VDSL,0,1,0,1,1,0,0,NULL,DINSDALE,HAMILTON,3204,Direct Debit,1,21/08/2019 0:00,31/12/9999 0:00,Y,1114,2DBD, OPay Monthly Discount,DISCOUNT,SUPSERVICE,NULL,-10,1,150
136335,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,ADSL,1,1,1,1,0,0,0,NULL,METHVEN,ASHBURTON,7730,Visa,1,6/12/2017 0:00,31/12/9999 0:00,Y,1114,2DBD, OPay Monthly Discount,DISCOUNT,SUPSERVICE,NULL,-10,1,150
228376,20190831,201908,Y,PREACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,VDSL,0,1,0,1,1,0,0,NULL,OHAUPO,WAIPA,3803,Direct Debit,1,9/08/2019 0:00,31/12/9999 0:00,Y,5618,PDK2XD, OAmazon Prime Video - 1 year on us,DISCOUNT,SUPSERVICE,NULL,-8.99,1,150
177255,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,WATERLOO,LOWER,HUTT 5011,Direct Debit,1,24/07/2018 0:00,31/12/9999 0:00,Y,5618,PDK2XD, OAmazon Prime Video - 1 year on us,DISCOUNT,SUPSERVICE,NULL,-8.99,1,150
131415,20190831,201908,Y,ACTIVE,ACTIVE,SME,SME,VDSL,1,0,1,0,0,1,0,NULL,INVERCARGILL,INVERCARGILL,9810,Direct Debit,2,31/07/2019 0:00,31/12/9999 0:00,Y,3583,643,Pending Closure,OTHER,PLANTYPE,SME,0,1,150
181455,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,DUNEDIN CENTRAL,DUNEDIN,9016,Visa,1,4/09/2019 0:00,31/12/9999 0:00,Y,5621,APVB,Amazon Prime Video,OTHER,SUPSERVICE,NULL,8.99,1,150
214816,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,HILLSBOROUGH,AUCKLAND,1042,Direct Debit,1,15/05/2019 0:00,31/12/9999 0:00,Y,4454,PCJDPG,Jan 18 $200 Joining Credit,PROMO,SUPSERVICE,NULL,0,1,150
210976,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,VDSL,1,0,0,1,0,0,0,NULL,PAPATOETOE,,AUCKLAND,Direct Debit,1,16/05/2019 0:00,31/12/9999 0:00,Y,4454,PCJDPG,Jan 18 $200 Joining Credit,PROMO,SUPSERVICE,NULL,0,1,150
216016,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,ALBANY HEIGHTS,AUCKLAND,632,Direct Debit,1,24/05/2019 0:00,31/12/9999 0:00,Y,5051,LOAN,2degrees Modem Rental,RENT,SUPSERVICE,NULL,0,1,150
